Name,Market-Cap,Price-to-Earnings,Price-to-Book,Current-Ratio,Financial-Position,Uninterupted-Divs,Ten-year-growth,No-Earnings-Deficit
Caterpillar Inc.,124.389B,36.47,7.52,1.60,false,false,false,false
Cboe Global Markets,11.181B,22.91,3.72,1.19,N/A,N/A,true,true
CBRE Group,28.653B,34.20,3.88,1.37,true,N/A,true,true
CDW,25.06B,32.72,19.51,1.53,N/A,N/A,true,false
Celanese,17.644B,8.78,4.98,1.92,false,false,true,true
Centene Corporation,35.978B,14.75,1.37,1.10,false,N/A,true,true
CenterPoint Energy,13.508B,N/A,2.26,0.61,false,false,false,false
Cerner,22.684B,29.78,5.12,2.27,true,false,true,true
CF Industries Holdings Inc,10.43B,33.08,3.56,1.51,false,N/A,false,false
Charles Schwab Corporation,132.717B,30.37,2.38,0.40,false,false,true,true
Charter Communications,144.976B,43.73,5.48,0.37,N/A,true,true,false
Chevron Corp.,198.725B,N/A,1.51,N/A,false,true,false,false
Chipotle Mexican Grill,42.014B,104.54,20.03,1.75,true,N/A,true,true
Chubb Limited,77.16B,13.93,1.31,0.33,false,true,false,true
Church & Dwight,21.014B,27.48,6.97,0.80,false,true,true,true
Cigna,86.502B,10.85,1.76,0.77,N/A,N/A,N/A,N/A
Cincinnati Financial,18.152B,5.98,1.63,1.23,true,false,true,true
Cintas Corporation,36.258B,37.78,9.50,2.35,false,false,true,true
Cisco Systems,214.931B,21.30,5.49,1.61,true,false,false,true
Citigroup Inc.,148.656B,9.77,0.81,N/A,false,false,true,false
Citizens Financial Group,19.712B,12.99,0.95,N/A,false,false,true,false
Citrix Systems,15.378B,37.74,62.90,0.69,false,true,true,false
CME Group Inc.,72.526B,37.90,2.73,1.02,false,false,true,true
CMS Energy,18.636B,21.43,3.24,1.82,false,false,true,true
Coca-Cola Company,232.744B,32.32,11.43,1.33,false,false,false,true
Cognizant Technology Solutions,42.494B,31.28,3.93,1.93,true,true,true,true
Colgate-Palmolive,68.395B,25.95,261.17,1.07,false,true,false,true
Comcast Corp.,257.969B,22.19,2.79,0.95,N/A,N/A,N/A,N/A
Comerica Inc.,10.493B,12.24,1.35,N/A,N/A,true,true,true
Conagra Brands,17.801B,15.26,2.16,0.80,N/A,false,false,false
ConocoPhillips,69.149B,N/A,1.83,2.25,N/A,false,false,false
Consolidated Edison,26.527B,23.60,1.40,0.72,false,false,false,true
Constellation Brands,46.575B,23.28,3.42,2.40,false,true,true,false
Copart Inc,29.424B,42.19,10.00,3.30,true,N/A,true,true
Corning Inc.,33.953B,31.35,3.07,2.31,false,false,false,false
Corteva,36.114B,N/A,1.50,1.73,N/A,N/A,false,false
Costco Wholesale Corp.,164.662B,38.05,10.52,0.99,false,false,true,true
Crown Castle,81.674B,84.33,9.09,0.63,N/A,true,true,false
CSX Corp.,76.308B,28.55,5.80,2.39,false,true,true,true
Cummins Inc.,36.935B,20.99,4.62,1.88,true,true,true,true
CVS Health,100.277B,13.98,1.44,0.91,N/A,true,false,false
D. R. Horton,35.432B,11.39,2.73,5.29,false,false,true,true
Danaher Corp.,181.13B,39.89,4.87,2.05,false,false,true,true
Darden Restaurants,19.197B,N/A,7.45,0.79,false,false,false,false
DaVita Inc.,12.375B,18.01,10.00,1.67,false,N/A,true,true
Deere & Co.,116.239B,33.93,8.25,2.42,false,true,true,true
Delta Air Lines Inc.,30.013B,N/A,62.06,0.86,false,false,false,false
Dentsply Sirona,14.73B,N/A,2.97,1.36,false,false,false,false
Devon Energy,15.826B,N/A,3.10,2.26,false,false,false,false
