Name,Market-Cap,Price-to-Earnings,Price-to-Book,Current-Ratio,Financial-Position,Uninterupted-Divs,Ten-year-growth,No-Earnings-Deficit
Regency Centers Corporation,10.811B,244.85,1.80,1.96,false,false,true,false
Regeneron Pharmaceuticals,51.27B,15.77,4.54,3.62,true,N/A,true,false
Regions Financial Corp.,20.943B,14.33,1.29,N/A,N/A,false,true,false
Republic Services Inc,33.91B,35.20,3.99,0.67,N/A,false,true,true
ResMed,27.351B,60.07,10.10,1.67,false,false,true,true
Robert Half International,9.893B,30.34,8.10,N/A,N/A,false,true,true
Rockwell Automation Inc.,30.675B,19.48,16.88,1.39,false,false,true,true
Rollins Inc.,18.347B,70.34,19.47,0.66,N/A,false,true,true
Roper Technologies,46.956B,47.34,4.35,0.71,false,false,true,true
Ross Stores,46.695B,545.58,14.19,1.69,true,false,true,true
Royal Caribbean Group,22.135B,N/A,2.41,1.70,false,false,false,false
S&P Global Inc.,94.039B,38.43,85.65,1.85,false,false,true,false
Salesforce.com,212.125B,52.58,5.10,1.24,true,N/A,true,false
SBA Communications,32.769B,242.69,N/A,0.69,false,N/A,true,false
Schlumberger Ltd.,37.825B,N/A,3.02,1.30,false,false,false,false
Seagate Technology,21.353B,23.46,44.13,1.23,false,false,true,true
Sealed Air,7.569B,15.34,44.34,1.38,false,N/A,true,false
Sempra Energy,41.651B,10.68,1.96,0.66,false,false,true,true
ServiceNow,99.982B,666.28,32.92,1.24,false,N/A,true,false
Sherwin-Williams,72.836B,35.40,23.64,0.90,false,false,true,true
Simon Property Group Inc,39.954B,33.91,13.34,0.44,false,false,true,true
Skyworks Solutions,29.935B,25.10,6.35,2.61,true,false,true,true
SL Green Realty,5.211B,21.95,1.09,4.67,N/A,false,false,true
Snap-on,12.849B,19.08,3.31,2.47,true,true,true,true
Southern Company,70.118B,20.81,2.46,0.82,false,false,false,true
Southwest Airlines,37.127B,N/A,4.08,1.97,false,false,true,false
Stanley Black & Decker,33.392B,21.00,3.37,1.42,false,false,true,true
Starbucks Corp.,134.904B,134.85,N/A,1.07,false,false,true,true
State Street Corp.,29.195B,13.83,1.27,N/A,true,true,true,true
Steris,18.011B,41.96,4.66,2.33,N/A,false,true,true
Stryker Corp.,98.945B,71.17,7.33,2.27,false,false,true,true
SVB Financial,31.051B,18.82,3.50,N/A,true,N/A,true,true
Synchrony Financial,25.439B,12.29,2.00,N/A,true,false,true,true
Synopsys Inc.,37.645B,53.42,7.71,1.10,true,N/A,true,true
Sysco Corp.,43.247B,N/A,30.28,1.78,false,false,false,true
T-Mobile US,164.741B,49.92,2.51,1.10,false,false,true,false
T. Rowe Price Group,40.76B,15.22,5.08,2.41,N/A,false,true,true
Take-Two Interactive,20.2B,41.08,6.09,1.78,true,false,true,false
Tapestry Inc.,13.295B,N/A,4.60,1.88,false,false,false,false
Target Corp.,103.127B,23.99,7.19,1.03,false,true,true,false
TE Connectivity Ltd.,44.405B,41.52,4.60,1.47,false,false,true,false
Teledyne Technologies,16.595B,41.93,5.10,6.56,true,N/A,true,true
Teleflex,19.75B,59.59,5.91,2.63,false,N/A,true,false
Teradyne,20.834B,28.44,8.96,3.64,N/A,N/A,true,false
Tesla Inc.,683.425B,710.86,29.68,1.66,true,N/A,true,false
Texas Instruments,166.655B,27.34,16.39,6.12,true,false,true,true
Textron Inc.,14.5B,34.19,2.42,2.64,true,true,true,true
The Bank of New York Mellon,43.669B,13.30,1.08,N/A,false,false,true,true
The Clorox Company,22.957B,25.36,30.85,1.08,false,false,true,true
The Cooper Companies,20.196B,9.05,3.37,1.35,false,false,true,true
The Hershey Company,34.009B,24.45,15.07,1.61,false,true,true,true
The Mosaic Company,13.357B,20.10,1.39,1.12,false,false,false,false
The Travelers Companies,38.892B,13.98,1.38,0.38,false,false,true,true
The Walt Disney Company,337.675B,N/A,4.01,1.31,N/A,false,true,false
Thermo Fisher Scientific,184.808B,29.46,5.41,2.13,false,false,true,true
TJX Companies Inc.,85.626B,1014.29,14.66,1.46,false,false,true
Tractor Supply Company,21.916B,26.12,11.83,1.71,N/A,false,true,true
Trane Technologies plc,41.564B,N/A,N/A,1.59,N/A,N/A,true,true
TransDigm Group,33.565B,93.42,N/A,4.53,false,false,true,true
Trimble Inc.,20.61B,52.90,5.72,0.98,false,N/A,true,true
Truist Financial,79.763B,N/A,N/A,N/A,true,false,true,true
Twitter Inc.,44.103B,N/A,5.68,4.84,true,false,true,false
Tyler Technologies,17.298B,96.38,8.37,3.24,true,N/A,true,true
Tyson Foods,28.249B,13.98,1.81,1.76,N/A,false,true,true
U.S. Bancorp,88.847B,15.66,1.94,N/A,true,false,true,true
UDR Inc.,13.788B,236.99,4.66,0.38,false,false,true,false
Ulta Beauty,18.242B,105.90,9.27,1.87,true,false,true,true
Under Armour (Class A),10.042B,N/A,6.60,2.28,true,N/A,false,false
Under Armour (Class C),10.042B,N/A,5.41,2.28,true,N/A,false,false
Union Pacific Corp,147.535B,28.74,9.09,0.76,false,false,true,true
United Airlines Holdings,17.603B,N/A,3.38,1.13,false,false,false,false
United Parcel Service,177.239B,34.42,24.87,1.29,false,false,true,true
United Rentals Inc.,23.157B,25.22,4.88,1.09,false,false,true,false
UnitedHealth Group Inc.,376.423B,22.67,5.51,0.74,false,false,true,true
Universal Health Services,12.634B,12.59,1.93,1.24,N/A,false,true,true
Unum Group,5.77B,7.26,0.53,30.66,false,true,true,true
Valero Energy,30.232B,N/A,1.61,N/A,false,false,false,false
Varian Medical Systems,16.262B,58.40,N/A,N/A,N/A,N/A,N/A,N/A
Ventas Inc,20.8B,47.40,2.04,0.61,N/A,false,false,true
Verisign Inc.,24.64B,39.61,N/A,1.22,false,N/A,true,true
Verisk Analytics,30.556B,43.67,11.36,0.56,false,false,true,true
Verizon Communications,239.255B,12.67,3.36,1.02,false,false,true,true
Vertex Pharmaceuticals Inc,56.475B,21.21,6.53,4.33,true,N/A,true,false
VF Corporation,34.344B,N/A,10.92,2.92,false,true,false,true
ViacomCBS,25.941B,N/A,N/A,1.66,false,false,true,true
Viatris,16.054B,N/A,N/A,1.22,N/A,N/A,false,false
Visa Inc.,513.918B,48.28,14.52,2.12,false,false,true,true
Vontier,5.289B,N/A,N/A,1.41,N/A,N/A,true,true
Vornado Realty Trust,8.759B,N/A,1.64,5.81,N/A,false,true,false
Vulcan Materials,23.646B,40.66,3.92,2.17,false,N/A,true,false
W. R. Berkley Corporation,14.759B,19.61,2.25,N/A,false,false,true,true
Walgreens Boots Alliance,45.899B,N/A,2.17,0.83,N/A,false,false,true
Walmart,393.634B,29.45,4.88,0.97,false,false,false,true
Waste Management Inc.,58.241B,37.70,7.84,1.01,false,false,true,true
Waters Corporation,18.61B,35.87,80.48,1.74,N/A,N/A,true,true
WEC Energy Group,30.651B,25.64,2.93,0.50,false,true,true,true
Wells Fargo,186.557B,30.94,1.12,N/A,false,false,false,true
Welltower Inc.,31.327B,42.80,1.98,4.45,false,false,true,true
West Pharmaceutical Services,24.261B,59.00,13.11,N/A,true,false,true,true
Western Digital,21.62B,127.49,2.20,2.01,false,false,false,false
Western Union Co,10.569B,14.39,56.74,0.36,false,false,false,false
Westinghouse Air Brake Technologies Corp,15.54B,37.61,1.53,1.19,N/A,true,false,true
WestRock,14.691B,N/A,1.34,1.60,false,false,false,false
Weyerhaeuser,29.029B,21.82,3.11,2.41,false,false,false,false
Whirlpool Corp.,14.808B,11.03,3.53,1.23,false,false,true,false
Williams Companies,29.592B,143.29,2.52,0.62,N/A,false,true,false
Willis Towers Watson,33.387B,23.66,2.90,1.10,false,false,true,false
Wynn Resorts Ltd,14.848B,N/A,N/A,2.03,false,false,false,false
Xcel Energy Inc,38.374B,24.59,2.61,0.88,false,false,true,true
Xerox,4.634B,22.88,0.85,2.05,N/A,false,false,false
Xilinx,31.447B,51.20,12.07,3.56,N/A,false,true,true
Xylem Inc.,19.917B,79.04,6.72,1.80,false,false,true,true
Yum! Brands Inc,35.689B,31.97,N/A,0.98,false,false,true,true
Zebra Technologies,26.094B,52.16,12.16,0.69,N/A,N/A,true,false
Zimmer Biomet,36.905B,N/A,3.02,1.99,false,false,false,false
Zions Bancorp,9.14B,11.34,1.24,N/A,true,N/A,true,false
Zoetis,82.187B,50.59,21.82,3.05,false,false,true,true
